Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Middle East and North Africa,Libya,Cosmetics,Offline,M,10/18/2014,686800706,10/31/2014,8446,437.2,263.33,3692591.2,2224085.18,1468506.02
Sub-Saharan Africa,Sudan,Cosmetics,Online,C,12/20/2015,544485270,1/5/2016,4146,437.2,263.33,1812631.2,1091766.18,720865.02
Europe,Ukraine,Cosmetics,Online,M,11/13/2014,270001733,1/1/2015,8368,437.2,263.33,3658489.6,2203545.44,1454944.16
Central America and the Caribbean,Panama,Cosmetics,Offline,H,3/17/2015,470897471,4/22/2015,7881,437.2,263.33,3445573.2,2075303.73,1370269.47
Asia,China,Cosmetics,Offline,L,9/22/2011,773315894,11/4/2011,213,437.2,263.33,93123.6,56089.29,37034.31
Central America and the Caribbean,Saint Lucia,Cosmetics,Online,C,8/13/2012,845058763,9/22/2012,522,437.2,263.33,228218.4,137458.26,90760.14
Europe,Serbia,Cosmetics,Online,H,7/26/2017,461065137,8/19/2017,8275,437.2,263.33,3617830.0,2179055.75,1438774.25
Asia,Vietnam,Cosmetics,Offline,L,12/24/2016,827506387,1/30/2017,6384,437.2,263.33,2791084.8,1681098.72,1109986.08
Europe,Russia,Cosmetics,Offline,C,7/21/2011,277083623,9/2/2011,4056,437.2,263.33,1773283.2,1068066.48,705216.72
Europe,Malta,Cosmetics,Online,M,7/12/2016,225666320,8/21/2016,8534,437.2,263.33,3731064.8,2247258.22,1483806.58
Sub-Saharan Africa,South Africa,Cosmetics,Offline,L,1/21/2015,889740073,1/26/2015,2715,437.2,263.33,1186998.0,714940.95,472057.05
Central America and the Caribbean,The Bahamas,Cosmetics,Offline,C,2/7/2013,253407227,2/15/2013,7685,437.2,263.33,3359882.0,2023691.05,1336190.95
Europe,Hungary,Cosmetics,Online,M,4/5/2014,290878760,4/7/2014,6344,437.2,263.33,2773596.8,1670565.52,1103031.28
Central America and the Caribbean,Belize,Cosmetics,Offline,C,7/25/2015,597918736,9/11/2015,6296,437.2,263.33,2752611.2,1657925.68,1094685.52
Sub-Saharan Africa,Angola,Cosmetics,Online,H,10/27/2014,125870978,11/20/2014,6874,437.2,263.33,3005312.8,1810130.42,1195182.38
Sub-Saharan Africa,Central African Republic,Cosmetics,Offline,H,3/27/2016,877424657,4/10/2016,8309,437.2,263.33,3632694.8,2188008.97,1444685.83
Australia and Oceania,East Timor,Cosmetics,Offline,C,10/12/2013,663857305,11/13/2013,8984,437.2,263.33,3927804.8,2365756.72,1562048.08
Middle East and North Africa,Yemen,Cosmetics,Online,L,12/30/2012,739474999,1/1/2013,5940,437.2,263.33,2596968.0,1564180.2,1032787.8
Asia,Turkmenistan,Cosmetics,Offline,H,11/29/2012,899659097,12/3/2012,7974,437.2,263.33,3486232.8,2099793.42,1386439.38
Middle East and North Africa,Qatar,Cosmetics,Online,M,8/4/2011,432037627,8/18/2011,8390,437.2,263.33,3668108.0,2209338.7,1458769.3
Asia,Japan,Cosmetics,Offline,C,8/16/2013,629925000,8/18/2013,7661,437.2,263.33,3349389.2,2017371.13,1332018.07
Sub-Saharan Africa,Malawi,Cosmetics,Offline,H,6/20/2017,674421346,6/29/2017,5118,437.2,263.33,2237589.6,1347722.94,889866.66
Europe,Finland,Cosmetics,Online,L,4/18/2014,506365287,5/16/2014,3596,437.2,263.33,1572171.2,946934.68,625236.52
